,,Home,,,,,,,,,,,,,Away,,,,,,,,,,,,
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Atalanta,8,7,0,1,25,11,+14,21,2.63,14.7,6.6,+8.1,+1.01,10,6,2,2,18,9,+9,20,2.00,18.8,10.1,+8.7,+0.87
2,Napoli,9,7,0,2,13,6,+7,21,2.33,15.5,6.0,+9.5,+1.06,9,6,2,1,14,6,+8,20,2.22,11.0,8.7,+2.3,+0.26
3,Inter,9,6,2,1,21,10,+11,20,2.22,17.1,9.4,+7.7,+0.85,8,6,2,0,24,5,+19,20,2.50,16.3,5.6,+10.7,+1.34
4,Lazio,9,6,2,1,18,13,+5,20,2.22,15.8,8.6,+7.2,+0.80,9,5,0,4,15,12,+3,15,1.67,13.3,10.4,+2.9,+0.32
5,Fiorentina,8,5,2,1,16,8,+8,17,2.13,15.2,7.4,+7.7,+0.97,9,4,3,2,15,7,+8,15,1.67,9.2,9.3,-0.1,-0.01
6,Juventus,10,3,7,0,15,9,+6,16,1.60,14.5,6.0,+8.5,+0.85,8,4,4,0,15,6,+9,16,2.00,11.5,8.1,+3.4,+0.43
7,Bologna,8,3,4,1,10,6,+4,13,1.63,13.5,7.6,+5.9,+0.73,9,4,3,2,15,15,0,15,1.67,8.5,9.9,-1.4,-0.16
8,Milan,9,4,4,1,14,5,+9,16,1.78,13.3,5.8,+7.6,+0.84,8,3,2,3,12,12,0,11,1.38,14.8,11.6,+3.2,+0.40
9,Udinese,9,4,1,4,11,13,-2,13,1.44,7.3,11.7,-4.4,-0.49,9,3,2,4,12,15,-3,11,1.22,9.1,13.8,-4.7,-0.53
10,Roma,9,5,0,4,18,10,+8,15,1.67,16.2,10.5,+5.8,+0.64,9,0,5,4,6,14,-8,5,0.56,9.2,13.7,-4.5,-0.50
11,Torino,8,2,2,4,6,9,-3,8,1.00,6.9,12.7,-5.8,-0.73,10,3,3,4,13,15,-2,12,1.20,10.0,11.5,-1.5,-0.15
12,Empoli,9,1,4,4,3,8,-5,7,0.78,4.9,8.2,-3.3,-0.37,9,3,3,3,14,13,+1,12,1.33,9.0,15.6,-6.7,-0.74
13,Genoa,10,0,6,4,9,16,-7,6,0.60,10.8,15.4,-4.7,-0.47,8,4,1,3,7,11,-4,13,1.63,7.2,11.6,-4.4,-0.55
14,Parma,10,3,2,5,16,18,-2,11,1.10,14.9,19.2,-4.3,-0.43,8,1,4,3,9,16,-7,7,0.88,7.9,16.1,-8.2,-1.02
15,Como,8,3,3,2,12,13,-1,12,1.50,11.4,8.6,+2.7,+0.34,10,1,3,6,8,17,-9,6,0.60,9.2,11.2,-2.0,-0.20
16,Hellas Verona,9,3,0,6,11,22,-11,9,1.00,9.2,13.7,-4.5,-0.50,9,3,0,6,13,20,-7,9,1.00,8.5,16.7,-8.2,-0.91
17,Lecce,9,3,3,3,9,17,-8,12,1.33,11.9,12.1,-0.2,-0.02,9,1,1,7,2,14,-12,4,0.44,6.3,15.7,-9.4,-1.04
18,Cagliari,10,2,3,5,8,18,-10,9,0.90,12.5,16.1,-3.6,-0.36,8,1,2,5,8,13,-5,5,0.63,11.8,13.9,-2.1,-0.26
19,Venezia,8,3,1,4,10,11,-1,10,1.25,10.7,8.6,+2.2,+0.27,10,0,3,7,7,20,-13,3,0.30,6.6,20.3,-13.7,-1.37
20,Monza,9,0,3,6,7,13,-6,3,0.33,8.2,11.6,-3.4,-0.37,9,1,4,4,9,12,-3,7,0.78,7.5,10.8,-3.3,-0.36